F,William Keane
F,Anthony Martial
F,Marcus Rashford
F,Wayne Rooney
team,Manchester City
G,Wilfredo Caballero
G,Joe Hart
G,Richard Wright
D,Oluwatosin Adarabioyo
D,Gaël Clichy
D,Martín Demichelis
D,Angeliño
D,Cameron Humphreys
D,Aleksandar Kolarov
D,Vincent Kompany
D,Eliaquim Mangala
D,Nicolás Otamendi
D,Bacary Sagna
D,Pablo Zabaleta
M,Brandon Barker
M,Bersant Celina
M,Kevin De Bruyne
M,Fabian Delph
M,Aleix Garciá Serrano
M,Manu García
M,George Glendon
M,James Horsfield
M,Samir Nasri
M,Jesús Navas
M,Fernando
M,Fernandinho
M,David Silva
M,Yaya Touré
F,Sergio Agüero
F,Wilfried Bony
F,David Faupala
F,Kelechi Iheanacho
F,Raheem Sterling
team,Leicester City
G,Ben Hamer
G,Jonathan Maddison
G,Kasper Schmeichel
G,Mark Schwarzer
D,Benjamin Chilwell
D,Christian Fuchs
D,Robert Huth
D,Liam Moore
D,Wes Morgan
D,Danny Simpson
D,Marcin Wasilewski
M,Marc Albrighton
M,Daniel Amartey
M,Daniel Drinkwater
M,Nathan Dyer
M,Gokhan Inler
M,Matthew James
M,N'Golo Kanté
M,Andy King
M,Riyad Mahrez
M,Andre Olukanmi
M,Jefferey Schlupp
F,Joseph Dodoo
F,Demarai Gray
F,Shinji Okazaki
F,Leonardo Ulloa
F,Jamie Vardy
team,Liverpool
G,Adam Bogdan
G,Simon Mignolet
G,Danny Ward
D,Steven Caulker
D,Daniel Cleary
D,Nathaniel Clyne
D,Jon Flanagan
D,Joseph Gomez
D,Tiago Ilori
D,Dejan Lovren
D,Joseph Maguire
D,Conor Masterson
D,Alberto Moreno
D,Connor Randall
D,Mamadou Sakho
D,Martin Skrtel
D,Brad Smith
D,Kevin Stewart
D,José Enrique
D,Kolo Touré
M,Joe Allen
M,Cameron Brannagan
M,Emre Can
M,Pedro Chirivella
M,Philippe Coutinho
M,Jordan Henderson
M,Jordon Ibe
M,Ryan Kent
M,Adam Lallana
M,James Milner
M,Sheyi Ojo
M,Lucas
M,Jordan Rossiter
M,Joao Carlos Teixeira
F,Roberto Firmino
F,Christian Benteke
F,Danny Ings
F,Divock Origi
F,Jerome Sinclair
F,Daniel Sturridge
team,Chelsea
G,Marco Amelia
G,Asmir Begovic
G,Thibaut Courtois
D,Ola Aina
D,César Azpilicueta
D,Gary Cahill
D,Jake Clark-Salter
D,Branislav Ivanovic
D,Matt Miazga
D,Baba Rahman
D,John Terry
D,Kurt Zouma
M,Charlie Colkett
M,Willian
M,Cesc Fàbregas
M,Eden Hazard
M,Ruben Loftus-Cheek
M,Nemanja Matic
M,John Obi Mikel
M,Kasey Palmer
M,Bertrand Traore
M,Oscar
F,Alexandre Pato
F,Radamel Falcao
F,Kenedy
F,Pedro
F,Loïc Rémy
F,Diego Costa
